"名称","住所","URL","コメント","電話番号","写真","担当課","避難対象の災害","経度","緯度","分類"
"指定避難所（南吉成小学校）","仙台市青葉区南吉成5-18-1","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","大雨（洪水・土砂）、地震","140.813816837992","38.2912290954886","指定避難所"
"指定避難所（第一中学校）","仙台市青葉区八幡4-16-1","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","大雨（洪水・土砂）、地震","140.846541549652","38.2725848879441","指定避難所"
"指定避難所（第二中学校）","仙台市青葉区木町通2-4-1","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","大雨（洪水・土砂）、地震
※大雨時は初動で開設されません。","140.863819550842","38.2735884863749","指定避難所"
"指定避難所（栗生小学校）","仙台市青葉区栗生6-6-1","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","大雨（洪水・土砂・ため池）（２階以上）、地震","140.786173606891","38.2674950516711","指定避難所"
"指定避難所（上杉山通小学校）","仙台市青葉区上杉1-10-1","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","大雨（洪水・土砂）、地震
※大雨時は初動で開設されません。","140.873492969072","38.2715086986366","指定避難所"
"指定避難所（北仙台小学校）","仙台市青葉区東勝山3-6-1","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","大雨（洪水・土砂）、地震
※大雨時は初動で開設されません。","140.861101821939","38.2972800517764","指定避難所"
"指定避難所（桜丘中学校）","仙台市青葉区桜ケ丘8-2-1","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","大雨（洪水・土砂）、地震
※大雨時は初動で開設されません。","140.851563910164","38.3041258521845","指定避難所"
"指定避難所（立町小学校）","仙台市青葉区立町8-1","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","大雨（洪水・土砂）、地震","140.863703486575","38.2617673451797","指定避難所"
"指定避難所（五橋中学校）","仙台市青葉区五橋2-2-1","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","大雨（洪水・土砂）、地震","140.879151963284","38.2520521972037","指定避難所"
"指定避難所（台原中学校）","仙台市青葉区台原5-19-1","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","大雨（洪水・土砂）、地震","140.880568035008","38.286980147086","指定避難所"
"指定避難所（南吉成中学校）","仙台市青葉区南吉成5-18-2","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","大雨（洪水・土砂）、地震
※大雨時は初動で開設されません。","140.812208728708","38.2914762596113","指定避難所"
"指定避難所（折立中学校）","仙台市青葉区折立3-19-1","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","大雨（洪水・土砂・ため池）（２階以上）、地震","140.807632910197","38.2659737729791","指定避難所"
"指定避難所（仙台高等学校）","仙台市青葉区国見6-52-1","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","大雨（洪水・土砂）、地震","140.833812241501","38.2811361751747","指定避難所"
"指定避難所（仙台青陵中等教育学校）","仙台市青葉区国見ケ丘7-144","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","大雨（洪水・土砂）、地震","140.835897534568","38.2886576755829","指定避難所"
"指定避難所（東二番丁小学校）","仙台市青葉区一番町2-1-4","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","大雨（洪水・土砂）、地震
※大雨時は初動で開設されません。","140.87467986894","38.2594375009887","指定避難所"
"指定避難所（広陵中学校）","仙台市青葉区熊ケ根字石積1-2","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","大雨（洪水・土砂）、地震","140.682229930533","38.2995680482421","指定避難所"
"指定避難所（幸町小学校）","仙台市宮城野区幸町2-19-1","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","大雨（洪水・土砂）（2階以上）、地震","140.898014046739","38.2765623128349","指定避難所"
"指定避難所（鶴谷中学校）","仙台市宮城野区鶴ケ谷5-24","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","大雨（洪水・土砂）、地震","140.914805998085","38.2919192436037","指定避難所"
"指定避難所（東仙台中学校）","仙台市宮城野区東仙台2-16-1","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","大雨（洪水・土砂）、地震","140.91759779152","38.2772518076727","指定避難所"
"指定避難所（榴岡小学校）","仙台市宮城野区榴ケ岡103-2","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","大雨（洪水・土砂）、地震
※大雨時は初動で開設されません。","140.890707987624","38.2613077436374","指定避難所"
"指定避難所（仙台工業高等学校）","仙台市宮城野区東宮城野3-1","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","大雨（洪水・土砂）、地震
※大雨時は初動で開設されません。","140.917568606843","38.2605306521903","指定避難所"
"指定避難所（燕沢小学校）","仙台市宮城野区燕沢東3-8-1","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","大雨（洪水・土砂）、地震","140.929781605044","38.2881925239776","指定避難所"
"指定避難所（新田小学校）","仙台市宮城野区新田４－３０－１","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","洪水、土石流、がけ崩れ・地すべり、地震","140.928774084041","38.2760188715984","指定避難所"
"指定避難所（岩切小学校）","仙台市宮城野区岩切字今市東1-2","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","大雨（洪水・土砂）（2階以上）、地震","140.942110054694","38.2992919874054","指定避難所"
"指定避難所（岩切中学校）","仙台市宮城野区岩切字三所南23-2","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","大雨（洪水・土砂）（2階以上）、地震","140.944565268039","38.301416922821","指定避難所"
"指定避難所（高砂小学校）","仙台市宮城野区福田町1-11-1","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","大雨（洪水・土砂）（2階以上）、地震、津波","140.95799864457","38.2733561262032","指定避難所"
"指定避難所（福室小学校）","仙台市宮城野区福室5-16-1","http://www.city.sendai.jp/anzensuishin/kurashi/anzen/saigaitaisaku/hinanjo/doko.html","避難のための広場と建物を備えた施設で、市立の小学校、中学校、高等学校等が指定されています。","","/sendaicity-html/pict/80101_001.jpg","危機管理局防災計画課","大雨（洪水・土砂）（2階以上）、地震、津波（2階以上）","140.971822392125","38.2802067031073","指定避難所"
